applicationIdentifier	regex	formatString	description	label	note	fnc1Required
3100	^3100(\d{6})$	N4+N6	"Net weight, kilograms (variable measure trade item)"	NET WEIGHT (kg)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn kilograms	FALSE
3101	^3101(\d{6})$	N4+N6	"Net weight, kilograms (variable measure trade item)"	NET WEIGHT (kg)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n kilograms	FALSE
3102	^3102(\d{6})$	N4+N6	"Net weight, kilograms (variable measure trade item)"	NET WEIGHT (kg)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn kilograms	FALSE
3103	^3103(\d{6})$	N4+N6	"Net weight, kilograms (variable measure trade item)"	NET WEIGHT (kg)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn kilograms	FALSE
3104	^3104(\d{6})$	N4+N6	"Net weight, kilograms (variable measure trade item)"	NET WEIGHT (kg)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn kilograms	FALSE
3105	^3105(\d{6})$	N4+N6	"Net weight, kilograms (variable measure trade item)"	NET WEIGHT (kg)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn kilograms	FALSE
3110	^3110(\d{6})$	N4+N6	"Length or first dimension, metres (variable measure trade item)"	LENGTH (m)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn metres	FALSE
3111	^3111(\d{6})$	N4+N6	"Length or first dimension, metres (variable measure trade item)"	LENGTH (m)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n metres	FALSE
3112	^3112(\d{6})$	N4+N6	"Length or first dimension, metres (variable measure trade item)"	LENGTH (m)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn metres	FALSE
3113	^3113(\d{6})$	N4+N6	"Length or first dimension, metres (variable measure trade item)"	LENGTH (m)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn metres	FALSE
3114	^3114(\d{6})$	N4+N6	"Length or first dimension, metres (variable measure trade item)"	LENGTH (m)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn metres	FALSE
3115	^3115(\d{6})$	N4+N6	"Length or first dimension, metres (variable measure trade item)"	LENGTH (m)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn metres	FALSE
3120	^3120(\d{6})$	N4+N6	"Width, diameter, or second dimension, metres (variable measure trade item)"	WIDTH (m)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn metres	FALSE
3121	^3121(\d{6})$	N4+N6	"Width, diameter, or second dimension, metres (variable measure trade item)"	WIDTH (m)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n metres	FALSE
3122	^3122(\d{6})$	N4+N6	"Width, diameter, or second dimension, metres (variable measure trade item)"	WIDTH (m)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn metres	FALSE
3123	^3123(\d{6})$	N4+N6	"Width, diameter, or second dimension, metres (variable measure trade item)"	WIDTH (m)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn metres	FALSE
3124	^3124(\d{6})$	N4+N6	"Width, diameter, or second dimension, metres (variable measure trade item)"	WIDTH (m)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn metres	FALSE
3125	^3125(\d{6})$	N4+N6	"Width, diameter, or second dimension, metres (variable measure trade item)"	WIDTH (m)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn metres	FALSE
3130	^3130(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, metres (variable measure trade item)"	HEIGHT (m)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn metres	FALSE
3131	^3131(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, metres (variable measure trade item)"	HEIGHT (m)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n metres	FALSE
3132	^3132(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, metres (variable measure trade item)"	HEIGHT (m)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn metres	FALSE
3133	^3133(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, metres (variable measure trade item)"	HEIGHT (m)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn metres	FALSE
3134	^3134(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, metres (variable measure trade item)"	HEIGHT (m)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn metres	FALSE
3135	^3135(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, metres (variable measure trade item)"	HEIGHT (m)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn metres	FALSE
3140	^3140(\d{6})$	N4+N6	"Area, square metres (variable measure trade item)"	AREA (m<sup>2</sup>)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn square metres	FALSE
3141	^3141(\d{6})$	N4+N6	"Area, square metres (variable measure trade item)"	AREA (m<sup>2</sup>)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n square metres	FALSE
3142	^3142(\d{6})$	N4+N6	"Area, square metres (variable measure trade item)"	AREA (m<sup>2</sup>)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn square metres	FALSE
3143	^3143(\d{6})$	N4+N6	"Area, square metres (variable measure trade item)"	AREA (m<sup>2</sup>)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn square metres	FALSE
3144	^3144(\d{6})$	N4+N6	"Area, square metres (variable measure trade item)"	AREA (m<sup>2</sup>)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn square metres	FALSE
3145	^3145(\d{6})$	N4+N6	"Area, square metres (variable measure trade item)"	AREA (m<sup>2</sup>)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn square metres	FALSE
3150	^3150(\d{6})$	N4+N6	"Net volume, litres (variable measure trade item)"	NET VOLUME (l)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn litres	FALSE
3151	^3151(\d{6})$	N4+N6	"Net volume, litres (variable measure trade item)"	NET VOLUME (l)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n litres	FALSE
3152	^3152(\d{6})$	N4+N6	"Net volume, litres (variable measure trade item)"	NET VOLUME (l)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn litres	FALSE
3153	^3153(\d{6})$	N4+N6	"Net volume, litres (variable measure trade item)"	NET VOLUME (l)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn litres	FALSE
3154	^3154(\d{6})$	N4+N6	"Net volume, litres (variable measure trade item)"	NET VOLUME (l)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn litres	FALSE
3155	^3155(\d{6})$	N4+N6	"Net volume, litres (variable measure trade item)"	NET VOLUME (l)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn litres	FALSE
3160	^3160(\d{6})$	N4+N6	"Net volume, cubic metres (variable measure trade item)"	NET VOLUME (m<sup>3</sup>)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn cubic metres	FALSE
3161	^3161(\d{6})$	N4+N6	"Net volume, cubic metres (variable measure trade item)"	NET VOLUME (m<sup>3</sup>)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n cubic metres	FALSE
3162	^3162(\d{6})$	N4+N6	"Net volume, cubic metres (variable measure trade item)"	NET VOLUME (m<sup>3</sup>)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn cubic metres	FALSE
3163	^3163(\d{6})$	N4+N6	"Net volume, cubic metres (variable measure trade item)"	NET VOLUME (m<sup>3</sup>)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn cubic metres	FALSE
3164	^3164(\d{6})$	N4+N6	"Net volume, cubic metres (variable measure trade item)"	NET VOLUME (m<sup>3</sup>)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn cubic metres	FALSE
3165	^3165(\d{6})$	N4+N6	"Net volume, cubic metres (variable measure trade item)"	NET VOLUME (m<sup>3</sup>)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn cubic metres	FALSE
3200	^3200(\d{6})$	N4+N6	"Net weight, pounds (variable measure trade item)"	NET WEIGHT (lb)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn pounds	FALSE
3201	^3201(\d{6})$	N4+N6	"Net weight, pounds (variable measure trade item)"	NET WEIGHT (lb)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n pounds	FALSE
3202	^3202(\d{6})$	N4+N6	"Net weight, pounds (variable measure trade item)"	NET WEIGHT (lb)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn pounds	FALSE
3203	^3203(\d{6})$	N4+N6	"Net weight, pounds (variable measure trade item)"	NET WEIGHT (lb)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn pounds	FALSE
3204	^3204(\d{6})$	N4+N6	"Net weight, pounds (variable measure trade item)"	NET WEIGHT (lb)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn pounds	FALSE
3205	^3205(\d{6})$	N4+N6	"Net weight, pounds (variable measure trade item)"	NET WEIGHT (lb)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn pounds	FALSE
3210	^3210(\d{6})$	N4+N6	"Length or first dimension, inches (variable measure trade item)"	LENGTH (in)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn inches	FALSE
3211	^3211(\d{6})$	N4+N6	"Length or first dimension, inches (variable measure trade item)"	LENGTH (in)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n inches	FALSE
3212	^3212(\d{6})$	N4+N6	"Length or first dimension, inches (variable measure trade item)"	LENGTH (in)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn inches	FALSE
3213	^3213(\d{6})$	N4+N6	"Length or first dimension, inches (variable measure trade item)"	LENGTH (in)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn inches	FALSE
3214	^3214(\d{6})$	N4+N6	"Length or first dimension, inches (variable measure trade item)"	LENGTH (in)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn inches	FALSE
3215	^3215(\d{6})$	N4+N6	"Length or first dimension, inches (variable measure trade item)"	LENGTH (in)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn inches	FALSE
3220	^3220(\d{6})$	N4+N6	"Length or first dimension, feet (variable measure trade item)"	LENGTH (ft)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn feet	FALSE
3221	^3221(\d{6})$	N4+N6	"Length or first dimension, feet (variable measure trade item)"	LENGTH (ft)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n feet	FALSE
3222	^3222(\d{6})$	N4+N6	"Length or first dimension, feet (variable measure trade item)"	LENGTH (ft)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn feet	FALSE
3223	^3223(\d{6})$	N4+N6	"Length or first dimension, feet (variable measure trade item)"	LENGTH (ft)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn feet	FALSE
3224	^3224(\d{6})$	N4+N6	"Length or first dimension, feet (variable measure trade item)"	LENGTH (ft)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn feet	FALSE
3225	^3225(\d{6})$	N4+N6	"Length or first dimension, feet (variable measure trade item)"	LENGTH (ft)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn feet	FALSE
3230	^3230(\d{6})$	N4+N6	"Length or first dimension, yards (variable measure trade item)"	LENGTH (yd)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn yards	FALSE
3231	^3231(\d{6})$	N4+N6	"Length or first dimension, yards (variable measure trade item)"	LENGTH (yd)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n yards	FALSE
3232	^3232(\d{6})$	N4+N6	"Length or first dimension, yards (variable measure trade item)"	LENGTH (yd)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn yards	FALSE
3233	^3233(\d{6})$	N4+N6	"Length or first dimension, yards (variable measure trade item)"	LENGTH (yd)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn yards	FALSE
3234	^3234(\d{6})$	N4+N6	"Length or first dimension, yards (variable measure trade item)"	LENGTH (yd)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn yards	FALSE
3235	^3235(\d{6})$	N4+N6	"Length or first dimension, yards (variable measure trade item)"	LENGTH (yd)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn yards	FALSE
3240	^3240(\d{6})$	N4+N6	"Width, diameter, or second dimension, inches (variable measure trade item)"	WIDTH (in)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn inches	FALSE
3241	^3241(\d{6})$	N4+N6	"Width, diameter, or second dimension, inches (variable measure trade item)"	WIDTH (in)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n inches	FALSE
3242	^3242(\d{6})$	N4+N6	"Width, diameter, or second dimension, inches (variable measure trade item)"	WIDTH (in)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn inches	FALSE
3243	^3243(\d{6})$	N4+N6	"Width, diameter, or second dimension, inches (variable measure trade item)"	WIDTH (in)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn inches	FALSE
3244	^3244(\d{6})$	N4+N6	"Width, diameter, or second dimension, inches (variable measure trade item)"	WIDTH (in)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn inches	FALSE
3245	^3245(\d{6})$	N4+N6	"Width, diameter, or second dimension, inches (variable measure trade item)"	WIDTH (in)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn inches	FALSE
3250	^3250(\d{6})$	N4+N6	"Width, diameter, or second dimension, feet (variable measure trade item)"	WIDTH (ft)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn feet	FALSE
3251	^3251(\d{6})$	N4+N6	"Width, diameter, or second dimension, feet (variable measure trade item)"	WIDTH (ft)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n feet	FALSE
3252	^3252(\d{6})$	N4+N6	"Width, diameter, or second dimension, feet (variable measure trade item)"	WIDTH (ft)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn feet	FALSE
3253	^3253(\d{6})$	N4+N6	"Width, diameter, or second dimension, feet (variable measure trade item)"	WIDTH (ft)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn feet	FALSE
3254	^3254(\d{6})$	N4+N6	"Width, diameter, or second dimension, feet (variable measure trade item)"	WIDTH (ft)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn feet	FALSE
3255	^3255(\d{6})$	N4+N6	"Width, diameter, or second dimension, feet (variable measure trade item)"	WIDTH (ft)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn feet	FALSE
3260	^3260(\d{6})$	N4+N6	"Width, diameter, or second dimension, yards (variable measure trade item)"	WIDTH (yd)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn yards	FALSE
3261	^3261(\d{6})$	N4+N6	"Width, diameter, or second dimension, yards (variable measure trade item)"	WIDTH (yd)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n yards	FALSE
3262	^3262(\d{6})$	N4+N6	"Width, diameter, or second dimension, yards (variable measure trade item)"	WIDTH (yd)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn yards	FALSE
3263	^3263(\d{6})$	N4+N6	"Width, diameter, or second dimension, yards (variable measure trade item)"	WIDTH (yd)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn yards	FALSE
3264	^3264(\d{6})$	N4+N6	"Width, diameter, or second dimension, yards (variable measure trade item)"	WIDTH (yd)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn yards	FALSE
3265	^3265(\d{6})$	N4+N6	"Width, diameter, or second dimension, yards (variable measure trade item)"	WIDTH (yd)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn yards	FALSE
3270	^3270(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, inches (variable measure trade item)"	HEIGHT (in)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn inches	FALSE
3271	^3271(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, inches (variable measure trade item)"	HEIGHT (in)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n inches	FALSE
3272	^3272(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, inches (variable measure trade item)"	HEIGHT (in)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn inches	FALSE
3273	^3273(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, inches (variable measure trade item)"	HEIGHT (in)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn inches	FALSE
3274	^3274(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, inches (variable measure trade item)"	HEIGHT (in)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn inches	FALSE
3275	^3275(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, inches (variable measure trade item)"	HEIGHT (in)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn inches	FALSE
3280	^3280(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, feet (variable measure trade item)"	HEIGHT (ft)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn feet	FALSE
3281	^3281(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, feet (variable measure trade item)"	HEIGHT (ft)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n feet	FALSE
3282	^3282(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, feet (variable measure trade item)"	HEIGHT (ft)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn feet	FALSE
3283	^3283(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, feet (variable measure trade item)"	HEIGHT (ft)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn feet	FALSE
3284	^3284(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, feet (variable measure trade item)"	HEIGHT (ft)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn feet	FALSE
3285	^3285(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, feet (variable measure trade item)"	HEIGHT (ft)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn feet	FALSE
3290	^3290(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, yards (variable measure trade item)"	HEIGHT (yd)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn yards	FALSE
3291	^3291(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, yards (variable measure trade item)"	HEIGHT (yd)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n yards	FALSE
3292	^3292(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, yards (variable measure trade item)"	HEIGHT (yd)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn yards	FALSE
3293	^3293(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, yards (variable measure trade item)"	HEIGHT (yd)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn yards	FALSE
3294	^3294(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, yards (variable measure trade item)"	HEIGHT (yd)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn yards	FALSE
3295	^3295(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, yards (variable measure trade item)"	HEIGHT (yd)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn yards	FALSE
3300	^3300(\d{6})$	N4+N6	"Logistic weight, kilograms"	GROSS WEIGHT (kg)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn kilograms	FALSE
3301	^3301(\d{6})$	N4+N6	"Logistic weight, kilograms"	GROSS WEIGHT (kg)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n kilograms	FALSE
3302	^3302(\d{6})$	N4+N6	"Logistic weight, kilograms"	GROSS WEIGHT (kg)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn kilograms	FALSE
